open,high,low,close,volume,symbol
74.8300,75.4900,73.6600,74.2100,11069424,sq
71.8000,75.4400,71.7750,74.7600,20563594,sq
69.7300,70.5400,66.7300,70.0600,16627992,sq
69.2100,69.5700,68.3300,69.5700,6414749,sq
68.9250,70.2600,68.2400,68.5600,8109682,sq
67.8500,70.6669,67.6000,69.1700,11485275,sq
67.0293,68.8800,66.8800,68.4700,12668252,sq
65.7900,69.9500,65.7900,68.0000,20104693,sq
64.3200,64.9399,63.3800,64.8900,8606243,sq
65.0000,65.3300,64.1900,65.0000,8865226,sq
63.5000,65.1700,63.3900,65.0400,11954239,sq
64.0900,64.2000,62.6800,63.4300,9036601,sq
63.5800,65.1100,63.5800,63.7300,13983731,sq
60.5000,64.0000,60.3900,63.3400,15851184,sq
59.1100,60.7800,59.0000,60.3100,10451642,sq
58.9700,60.0400,58.6800,59.6500,5162580,sq
59.1300,59.7300,58.3392,59.0200,7709245,sq
58.6700,59.3350,58.0600,58.6700,8125080,sq
57.9200,59.5350,57.4764,59.2700,10473083,sq
56.4400,58.4000,56.4001,58.1900,12038185,sq
56.0200,56.4500,55.4900,56.2800,9462602,sq
55.5200,57.2700,55.4500,56.3000,14683056,sq
53.9600,55.3300,53.8200,55.1000,15519220,sq
50.9500,52.2100,50.8600,52.0200,9727524,sq
50.9900,51.7000,50.8700,51.5000,9520253,sq
52.7950,53.3500,50.9800,51.0500,16380540,sq
50.9600,53.0500,50.6300,52.2700,19517528,sq
49.7050,51.6300,49.7050,51.0500,22098671,sq
49.1899,49.9211,48.1520,49.5200,22090151,sq
50.8000,52.1300,48.4000,48.6800,49424179,sq
43.7100,44.0999,42.7800,43.9800,30573874,sq
39.9500,41.0950,39.3400,40.9600,11957107,sq
39.4800,40.3800,38.8850,40.2500,9734511,sq
40.3700,40.8600,38.8500,39.2200,15531817,sq
40.3600,40.5200,38.9100,40.0200,19872597,sq
41.6600,42.8900,41.5448,41.6800,11861548,sq
43.5600,43.6500,41.3000,41.7200,20833391,sq
44.7800,46.1500,44.7114,45.3500,11482236,sq
43.5800,44.5650,42.8100,43.9000,9641632,sq
44.5150,44.5600,43.7003,43.9800,9985879,sq
44.3800,45.5700,43.9600,44.1700,10885056,sq
45.2750,45.8800,44.5500,44.5800,8206403,sq
44.1800,46.3800,44.0900,45.9000,11581256,sq
43.8400,44.9500,43.5950,44.7600,9192184,sq
44.6300,44.8700,43.1400,43.1700,13516788,sq
47.0500,47.2250,45.1210,45.4500,13842976,sq
46.3400,47.5350,46.0200,46.6900,15563042,sq
44.3000,46.5400,44.3000,46.0000,15783367,sq
43.1200,43.8150,42.8900,43.7100,7787594,sq
42.1500,44.0500,42.1500,43.8300,13244321,sq
41.5100,42.8150,40.7700,42.6400,15916712,sq
42.0000,42.2200,41.2400,41.9000,11047998,sq
42.5700,43.2900,41.4900,41.9000,11399945,sq
44.3200,44.7200,42.9800,43.1900,10433167,sq
45.2100,45.6300,44.2100,44.2600,11965284,sq
44.0300,44.5600,42.7700,44.3500,16585056,sq
45.2600,45.3600,43.7500,44.1400,11656103,sq
44.9400,45.7398,44.5600,44.8100,10168217,sq
44.6200,45.7400,44.3300,45.5900,8841345,sq
45.8900,46.1800,44.6000,44.7100,11866500,sq
46.5100,46.9300,45.2700,45.6200,19540764,sq
49.9900,50.0600,47.5200,47.5700,15313470,sq
49.9400,50.6300,49.3700,49.8000,17981673,sq
52.8100,52.8100,51.2400,51.2500,11564036,sq
53.6800,54.0800,52.2600,52.8300,11915074,sq
54.6100,54.7300,53.5700,53.8500,8089954,sq
54.0750,54.5800,53.6100,54.1500,5735346,sq
53.7850,55.7291,53.6500,54.3300,10233084,sq
53.9550,55.2000,53.2701,53.9400,10420035,sq
56.0000,56.0000,52.7800,53.0800,20720751,sq
56.2200,56.5000,55.1400,56.0400,9075765,sq
57.6800,59.7200,57.4900,57.6400,10491583,sq
58.1600,59.1950,57.7850,58.7400,5987049,sq
58.3900,59.0400,57.8500,58.1700,5752348,sq
57.8000,58.5000,57.1700,57.6500,7392938,sq
57.3300,58.2100,56.9800,57.7200,6813238,sq
55.5700,57.9000,55.4600,57.7600,7329804,sq
56.0100,56.4500,55.2600,55.8700,5333590,sq
55.4000,56.6300,54.9700,55.8600,7741021,sq
57.5700,57.5700,55.3100,55.6300,7952746,sq
56.3000,57.4000,55.9000,57.2200,12207274,sq
57.8100,58.0002,55.6300,56.0700,10503847,sq
56.8400,57.5600,55.9900,57.5600,9422938,sq
55.0300,57.2700,54.7250,56.8800,9841116,sq
57.0700,57.5200,56.0800,56.1000,10195218,sq
58.1400,58.9500,57.4400,57.4900,8309160,sq
60.0900,60.3600,58.1300,58.3600,9501060,sq
60.0600,60.4900,59.6400,60.1500,7408116,sq
61.6000,62.3600,60.5300,60.5700,7740658,sq
63.0600,64.2600,61.8100,62.2400,8642458,sq
63.6300,64.5467,62.4100,62.7100,12169229,sq
62.8000,63.5800,62.3200,62.3800,11439272,sq
64.1600,65.1500,63.2800,64.0100,16331223,sq
67.6800,70.3983,63.2000,63.5200,33475980,sq
73.3600,73.8800,71.5100,73.5500,13871067,sq
77.1350,77.1350,73.8700,74.4900,10439823,sq
79.8800,79.9000,77.7800,78.7600,6745084,sq
79.3800,81.4700,79.1600,80.5300,7815048,sq
78.3150,78.9800,77.3500,78.3600,6228303,sq
78.8300,79.4400,75.4000,75.7700,5911856,sq
